CompanionID,VisitID,CompanionType
998,2601,혼자 왔다
999,2602,혼자 왔다
1000,2603,혼자 왔다
1001,2605,혼자 왔다
1002,2606,혼자 왔다
1003,2608,혼자 왔다
1004,2610,혼자 왔다
1005,2611,혼자 왔다
1006,2612,혼자 왔다
1007,2614,혼자 왔다
1008,2621,혼자 왔다
1009,2628,혼자 왔다
1010,2631,혼자 왔다
1011,2632,혼자 왔다
1012,2633,혼자 왔다
1013,2634,혼자 왔다
1014,2635,혼자 왔다
1015,2636,혼자 왔다
1016,2637,혼자 왔다
1017,2641,혼자 왔다
1018,2644,혼자 왔다
1019,2647,혼자 왔다
1020,2648,혼자 왔다
1021,2649,혼자 왔다
1022,2650,혼자 왔다
1023,2657,혼자 왔다
1024,2661,혼자 왔다
1025,2662,혼자 왔다
1026,2663,혼자 왔다
1027,2664,혼자 왔다
1028,2665,혼자 왔다
1029,2666,혼자 왔다
1030,2668,혼자 왔다
1031,2669,혼자 왔다
1032,2670,혼자 왔다
1033,2671,혼자 왔다
1034,2673,혼자 왔다
1035,2674,혼자 왔다
1036,2677,혼자 왔다
1037,2678,혼자 왔다
1038,2680,혼자 왔다
1039,2681,혼자 왔다
1040,2682,혼자 왔다
1041,2683,혼자 왔다
1042,2684,혼자 왔다
1043,2687,혼자 왔다
1044,2692,혼자 왔다
1045,2694,혼자 왔다
1046,2697,혼자 왔다
1047,2698,혼자 왔다
1048,2701,혼자 왔다
1049,2702,혼자 왔다
1050,2704,혼자 왔다
1051,2705,혼자 왔다
1052,2706,혼자 왔다
1053,2707,혼자 왔다
1054,2708,혼자 왔다
1055,2709,혼자 왔다
1056,2710,혼자 왔다
1057,2711,혼자 왔다
1058,2717,혼자 왔다
1059,2722,혼자 왔다
1060,2731,혼자 왔다
1061,2733,혼자 왔다
1062,2738,혼자 왔다
1063,2739,혼자 왔다
1064,2740,혼자 왔다
1065,2741,혼자 왔다
1066,2743,혼자 왔다
1067,2744,혼자 왔다
1068,2745,혼자 왔다
1069,2746,혼자 왔다
1070,2749,혼자 왔다
1071,2752,혼자 왔다
1072,2753,혼자 왔다
1073,2754,혼자 왔다
1074,2755,혼자 왔다
1075,2761,혼자 왔다
1076,2772,혼자 왔다
1077,2777,혼자 왔다
1078,2780,혼자 왔다
1079,2781,혼자 왔다
1080,2783,혼자 왔다
1081,2785,혼자 왔다
1082,2788,혼자 왔다
1083,2794,혼자 왔다
1084,2795,혼자 왔다
1085,2798,혼자 왔다
1086,2803,혼자 왔다
1087,2807,혼자 왔다
1088,2808,혼자 왔다
1089,2811,혼자 왔다
1090,2812,혼자 왔다
1091,2819,혼자 왔다
1092,2820,혼자 왔다
